order_time,order_id,order_date,allot_time,accept_time,pickup_time,delivered_time,rider_id,first_mile_distance,last_mile_distance,alloted_orders,delivered_orders,cancelled,undelivered_orders,lifetime_order_count,reassignment_method,reassignment_reason,reassigned_order,session_time,cancelled_time
2021-02-06 08:39:42,126675,2021-02-06 00:00:00,2021-02-06 08:40:22,2021-02-06 08:40:32,2021-02-06 08:55:20,2021-02-06 10:35:34,11511,1.1605,4.82,33.0,33.0,0,0.0,77.0,,,,127.85,
2021-02-06 08:39:45,126677,2021-02-06 00:00:00,2021-02-06 08:39:46,2021-02-06 08:40:09,2021-02-06 08:58:42,2021-02-06 09:29:40,145,0.5819,4.0,34.0,34.0,0,0.0,277.0,,,,266.3333333333333,
2021-02-06 08:39:45,126676,2021-02-06 00:00:00,2021-02-06 08:39:46,2021-02-06 08:41:05,2021-02-06 08:58:46,2021-02-06 09:19:37,11514,2.2004,5.78,93.0,93.0,0,0.0,657.0,,,,171.7,
2021-02-06 08:39:46,126678,2021-02-06 00:00:00,2021-02-06 08:40:58,2021-02-06 08:41:41,2021-02-06 09:12:31,2021-02-06 09:20:16,1540,1.3964,0.91,56.0,56.0,0,0.0,125.0,,,,184.7,
2021-02-06 08:39:48,126679,2021-02-06 00:00:00,2021-02-06 08:39:49,2021-02-06 08:40:14,2021-02-06 08:52:23,2021-02-06 09:03:59,661,2.3891,3.16,29.0,28.0,0,1.0,107.0,,,,189.28333333333333,
2021-02-06 08:39:50,126680,2021-02-06 00:00:00,2021-02-06 08:40:58,2021-02-06 08:41:08,2021-02-06 09:00:18,2021-02-06 09:13:15,1426,0.194185783439,2.02,352.0,350.0,0,2.0,7284.0,,,,189.41666666666669,
2021-02-06 08:39:50,126681,2021-02-06 00:00:00,2021-02-06 08:40:26,2021-02-06 08:40:38,2021-02-06 08:52:07,2021-02-06 09:21:23,1274,0.172570881989,3.07,87.0,84.0,0,3.0,142.0,,,,124.75,
2021-02-06 08:39:50,126682,2021-02-06 00:00:00,2021-02-06 08:40:17,2021-02-06 08:40:27,2021-02-06 08:48:23,2021-02-06 09:10:37,7137,1.2822,4.67,233.0,230.0,0,3.0,309.0,,,,147.2,
2021-02-06 08:39:50,126683,2021-02-06 00:00:00,2021-02-06 08:40:05,2021-02-06 08:41:54,2021-02-06 08:50:35,2021-02-06 09:12:17,839,1.2944,5.93,356.0,353.0,0,3.0,1437.0,,,,185.9333333333333,
2021-02-06 08:39:51,126684,2021-02-06 00:00:00,2021-02-06 08:39:52,2021-02-06 08:41:04,2021-02-06 08:54:48,2021-02-06 09:08:28,13136,0.19601817231,1.04,19.0,18.0,0,1.0,589.0,,,,86.68333333333334,
2021-02-06 08:39:51,126685,2021-02-06 00:00:00,2021-02-06 08:40:47,2021-02-06 08:41:02,2021-02-06 08:56:35,2021-02-06 09:13:49,7361,1.9808,3.81,12.0,12.0,0,0.0,53.0,,,,180.31666666666663,
2021-02-06 08:39:53,126686,2021-02-06 00:00:00,2021-02-06 08:40:35,2021-02-06 08:40:56,2021-02-06 09:07:14,2021-02-06 09:18:31,1218,0.5065,3.33,72.0,72.0,0,0.0,99.0,,,,153.36666666666667,
2021-02-06 08:39:54,126687,2021-02-06 00:00:00,2021-02-06 08:41:21,2021-02-06 08:41:36,2021-02-06 08:46:41,2021-02-06 09:04:25,8622,1.1949,3.91,50.0,50.0,0,0.0,2351.0,,,,127.36666666666666,
2021-02-06 08:39:54,126688,2021-02-06 00:00:00,2021-02-06 08:39:57,2021-02-06 08:40:11,2021-02-06 09:06:09,2021-02-06 09:19:00,9072,1.8904,0.6,249.0,247.0,0,2.0,948.0,,,,189.9,
2021-02-06 08:39:58,126690,2021-02-06 00:00:00,2021-02-06 08:39:59,2021-02-06 08:40:18,2021-02-06 08:51:34,2021-02-06 09:13:04,12973,2.103,4.31,88.0,87.0,0,1.0,1856.0,,,,116.76666666666668,
2021-02-06 08:39:58,126689,2021-02-06 00:00:00,2021-02-06 08:39:59,2021-02-06 08:41:20,2021-02-06 09:10:11,2021-02-06 09:37:03,1528,0.165673220237,1.0,105.0,105.0,0,0.0,255.0,,,,261.45,
2021-02-06 08:40:01,126691,2021-02-06 00:00:00,2021-02-06 08:40:56,2021-02-06 08:42:10,2021-02-06 08:50:57,2021-02-06 09:03:58,2348,1.2649,1.31,235.0,234.0,0,1.0,1061.0,,,,274.53333333333336,
2021-02-06 08:40:02,126692,2021-02-06 00:00:00,2021-02-06 08:41:07,2021-02-06 08:41:50,2021-02-06 08:48:51,2021-02-06 09:05:25,1514,0.9959,2.06,43.0,43.0,0,0.0,118.0,,,,162.06666666666666,
2021-02-06 08:40:02,126693,2021-02-06 00:00:00,2021-02-06 08:40:03,2021-02-06 08:42:41,2021-02-06 08:53:32,2021-02-06 09:04:12,1974,0.972,3.44,73.0,73.0,0,0.0,3056.0,,,,224.5,
2021-02-06 08:40:04,126694,2021-02-06 00:00:00,2021-02-06 08:40:58,2021-02-06 08:41:19,2021-02-06 08:46:25,2021-02-06 08:57:35,6473,0.146736285027,2.48,137.0,136.0,0,1.0,1103.0,,,,178.46666666666667,
2021-02-06 08:40:05,126695,2021-02-06 00:00:00,2021-02-06 08:41:03,2021-02-06 08:42:35,2021-02-06 09:15:59,2021-02-06 09:35:45,9412,1.1079,3.99,10.0,10.0,0,0.0,501.0,,,,104.28333333333332,
2021-02-06 08:40:07,126696,2021-02-06 00:00:00,2021-02-06 08:41:02,2021-02-06 08:41:06,2021-02-06 08:50:52,2021-02-06 08:53:59,10943,1.0033,0.98,482.0,482.0,0,0.0,1498.0,,,,304.1,
2021-02-06 08:40:07,126697,2021-02-06 00:00:00,2021-02-06 08:40:25,2021-02-06 08:40:44,2021-02-06 08:48:12,2021-02-06 08:58:12,8909,1.3929,0.89,19.0,19.0,0,0.0,1044.0,,,,159.95000000000002,
2021-02-06 08:40:10,126698,2021-02-06 00:00:00,2021-02-06 08:40:26,2021-02-06 08:42:08,2021-02-06 09:03:57,2021-02-06 09:20:28,3297,0.7666,0.9,84.0,84.0,0,0.0,805.0,,,,129.63333333333333,
2021-02-06 08:40:11,126699,2021-02-06 00:00:00,2021-02-06 08:40:11,2021-02-06 08:40:36,2021-02-06 08:59:09,2021-02-06 09:06:38,961,1.7533,0.64,256.0,254.0,0,2.0,384.0,,,,190.1833333333333,
2021-02-06 08:40:11,126700,2021-02-06 00:00:00,2021-02-06 08:40:23,2021-02-06 08:40:48,2021-02-06 09:02:48,2021-02-06 09:19:47,9133,1.6444,5.29,5.0,5.0,0,0.0,61.0,,,,63.8,
2021-02-06 08:40:12,126701,2021-02-06 00:00:00,2021-02-06 08:44:20,2021-02-06 08:48:06,2021-02-06 08:56:33,2021-02-06 09:14:23,298,0.5623,5.17,30.0,29.0,0,1.0,113.0,,,,307.7833333333333,
2021-02-06 08:40:13,126703,2021-02-06 00:00:00,2021-02-06 08:40:57,2021-02-06 08:42:52,2021-02-06 09:01:28,2021-02-06 09:08:47,9016,0.558,1.04,153.0,153.0,0,0.0,286.0,,,,183.9,
2021-02-06 08:40:13,126702,2021-02-06 00:00:00,2021-02-06 08:40:23,2021-02-06 08:40:29,2021-02-06 09:07:00,2021-02-06 09:25:30,4877,0.3633,4.92,180.0,175.0,0,5.0,673.0,,,,110.01666666666668,
2021-02-06 08:40:15,126704,2021-02-06 00:00:00,2021-02-06 08:41:03,2021-02-06 08:41:11,2021-02-06 09:36:08,2021-02-06 09:44:17,2183,0.3527,1.0,184.0,183.0,0,1.0,324.0,,,,271.93333333333334,
2021-02-06 08:40:18,126705,2021-02-06 00:00:00,2021-02-06 08:40:19,2021-02-06 08:40:30,2021-02-06 08:50:41,2021-02-06 09:05:12,2765,1.145,3.02,59.0,59.0,0,0.0,694.0,,,,203.7166666666667,
